# Isoelastics for elastic spheres deformed
# in a microfluidic channel.
#
# A description of the underlying theory can be found here:
#
#   Numerical Simulation of Real-Time Deformability Cytometry
#   to Extract Cell Mechanical Properties
#   M. Mokbel, D. Mokbel, A. Mietke, N. Träber, S. Girardo,
#   O. Otto, J. Guck, and S. Aland
#   ACS Biomaterials Science & Engineering 3(11) 2017
#   DOI: 10.1021/acsbiomaterials.6b00558
#
# These data were generated by linear interpolation of a look-up 
# table of numerically simulated values. 
# The simulations were performed by S. Aland, D. Mokbel.
# The look-up table was assembled by S. Aland, D. Mokbel, C. Herold.
# The interpolation was performed by C. Herold
#
# - column 1: area_um
# - column 2: deform
# - column 3: emodulus
# - channel width [um]: 20
# - flow rate [ul/s]: 0.04
# - viscosity [mPa*s]: 15
# - method: numerical
# - method details: FEM
#
# apparent_area_um^2 deformation elastic_modulus_kPa
1.98657e+02 1.80000e-02 5.40
1.97093e+02 1.76727e-02 5.40
1.95116e+02 1.72517e-02 5.40
1.93916e+02 1.70000e-02 5.40
1.93140e+02 1.68509e-02 5.40
1.91163e+02 1.64601e-02 5.40
1.89186e+02 1.60372e-02 5.40
1.89012e+02 1.60000e-02 5.40
1.87209e+02 1.56435e-02 5.40
1.85233e+02 1.52611e-02 5.40
1.83854e+02 1.50000e-02 5.40
1.83256e+02 1.48953e-02 5.40
1.81279e+02 1.45842e-02 5.40
1.79302e+02 1.42005e-02 5.40
1.78234e+02 1.40000e-02 5.40
1.77326e+02 1.38412e-02 5.40
1.75349e+02 1.35539e-02 5.40
1.73372e+02 1.32035e-02 5.40
1.72203e+02 1.30000e-02 5.40
1.71395e+02 1.28730e-02 5.40
1.69419e+02 1.25822e-02 5.40
1.67442e+02 1.22295e-02 5.40
1.65967e+02 1.20000e-02 5.40
1.65465e+02 1.19305e-02 5.40
1.63488e+02 1.16610e-02 5.40
1.61512e+02 1.13751e-02 5.40
1.59535e+02 1.10662e-02 5.40
1.59088e+02 1.10000e-02 5.40
1.57558e+02 1.07970e-02 5.40
1.55581e+02 1.05418e-02 5.40
1.53605e+02 1.02870e-02 5.40
1.51628e+02 1.00176e-02 5.40
1.51497e+02 1.00000e-02 5.40
1.49651e+02 9.78363e-03 5.40
1.47674e+02 9.55051e-03 5.40
1.45698e+02 9.30703e-03 5.40
1.43721e+02 9.05998e-03 5.40
1.43262e+02 9.00000e-03 5.40
1.41744e+02 8.83038e-03 5.40
1.39767e+02 8.61661e-03 5.40
1.37791e+02 8.39881e-03 5.40
1.35814e+02 8.18942e-03 5.40
1.34029e+02 8.00000e-03 5.40
1.33837e+02 7.98296e-03 5.40
1.31860e+02 7.79333e-03 5.40
1.29884e+02 7.59469e-03 5.40
1.27907e+02 7.40003e-03 5.40
1.25930e+02 7.20750e-03 5.40
1.23953e+02 7.01119e-03 5.40
1.23845e+02 7.00000e-03 5.40
1.21977e+02 6.84206e-03 5.40
1.20000e+02 6.67344e-03 5.40
1.18023e+02 6.50719e-03 5.40
1.16047e+02 6.33730e-03 5.40
1.14070e+02 6.16455e-03 5.40
1.12255e+02 6.00000e-03 5.40
1.12093e+02 5.98869e-03 5.40
1.10116e+02 5.84615e-03 5.40
1.08140e+02 5.70380e-03 5.40
1.06163e+02 5.54803e-03 5.40
1.04186e+02 5.42605e-03 5.40
1.02209e+02 5.24429e-03 5.40
1.00233e+02 5.08396e-03 5.40
9.92175e+01 5.00000e-03 5.40
9.82558e+01 4.94265e-03 5.40
9.62791e+01 4.86194e-03 5.40
9.43023e+01 4.70548e-03 5.40
9.23256e+01 4.62558e-03 5.40
9.03488e+01 4.49168e-03 5.40
8.83721e+01 4.32128e-03 5.40
8.63953e+01 4.17925e-03 5.40
8.44186e+01 4.04971e-03 5.40
8.36093e+01 4.00000e-03 5.40
8.24419e+01 3.95184e-03 5.40
8.04651e+01 3.85179e-03 5.40
7.84884e+01 3.74481e-03 5.40
7.65116e+01 3.63409e-03 5.40
7.45349e+01 3.50197e-03 5.40
7.25581e+01 3.39998e-03 5.40
7.05814e+01 3.29708e-03 5.40
6.86047e+01 3.19188e-03 5.40
6.66279e+01 3.09590e-03 5.40
2.88023e+02 6.46606e-02 4.20
2.86414e+02 6.40000e-02 4.20
2.86047e+02 6.38477e-02 4.20
2.84070e+02 6.30897e-02 4.20
2.83848e+02 6.30000e-02 4.20
2.82093e+02 6.22174e-02 4.20
2.81608e+02 6.20000e-02 4.20
2.80116e+02 6.13987e-02 4.20
2.79115e+02 6.10000e-02 4.20
2.78140e+02 6.05747e-02 4.20
2.76889e+02 6.00000e-02 4.20
2.76163e+02 5.96924e-02 4.20
2.74592e+02 5.90000e-02 4.20
2.74186e+02 5.88278e-02 4.20
2.72210e+02 5.80000e-02 4.20
2.72209e+02 5.79997e-02 4.20
2.70233e+02 5.71121e-02 4.20
2.69957e+02 5.70000e-02 4.20
2.68256e+02 5.63083e-02 4.20
2.67559e+02 5.60000e-02 4.20
2.66279e+02 5.54448e-02 4.20
2.65222e+02 5.50000e-02 4.20
2.64302e+02 5.46225e-02 4.20
2.62818e+02 5.40000e-02 4.20
2.62326e+02 5.37964e-02 4.20
2.60434e+02 5.30000e-02 4.20
2.60349e+02 5.29658e-02 4.20
2.58372e+02 5.21482e-02 4.20
2.58018e+02 5.20000e-02 4.20
2.56395e+02 5.13307e-02 4.20
2.55611e+02 5.10000e-02 4.20
2.54419e+02 5.05117e-02 4.20
2.53204e+02 5.00000e-02 4.20
2.52442e+02 4.96840e-02 4.20
2.50832e+02 4.90000e-02 4.20
2.50465e+02 4.88462e-02 4.20
2.48492e+02 4.80000e-02 4.20
2.48488e+02 4.79985e-02 4.20
2.46512e+02 4.71776e-02 4.20
2.46084e+02 4.70000e-02 4.20
2.44535e+02 4.63691e-02 4.20
2.43643e+02 4.60000e-02 4.20
2.42558e+02 4.55627e-02 4.20
2.41178e+02 4.50000e-02 4.20
2.40581e+02 4.47588e-02 4.20
2.38707e+02 4.40000e-02 4.20
2.38605e+02 4.39593e-02 4.20
2.36628e+02 4.31691e-02 4.20
2.36208e+02 4.30000e-02 4.20
