# Isoelastics for elastic spheres deformed
# in a microfluidic channel.
#
# A description of the underlying theory can be found here:
#
#   Extracting Cell Stiffness from Real-Time Deformability
#   Cytometry: Theory and Experiment
#   A. Mietke, O. Otto, S. Girardo, P. Rosendahl,
#   A. Taubenberger, S. Golfier, E. Ulbricht,
#   S. Aland, J. Guck, E. Fischer-Friedrich
#   Biophysical Journal 109(10) 2015
#   DOI: 10.1016/j.bpj.2015.09.006
#
# These data were generated using a Matlab script
# written by Alexander Mietke.
#
# - column 1: area_um
# - column 2: deform
# - column 3: emodulus
# - channel width [um]: 20
# - flow rate [ul/s]: 0.04
# - viscosity [mPa*s]: 15
# - method: analytical
# - method details: squared channel, convex hull
#
# apparent_area_um^2 deformation elastic_modulus_kPa
4.0682556e+01 2.8000845e-03 4.20
4.1835155e+01 2.8843062e-03 4.20
4.2987664e+01 2.9689721e-03 4.20
4.4140082e+01 3.0540978e-03 4.20
4.5292406e+01 3.1396992e-03 4.20
4.6444635e+01 3.2257920e-03 4.20
4.7596766e+01 3.3123925e-03 4.20
4.8748798e+01 3.3995167e-03 4.20
4.9900728e+01 3.4871810e-03 4.20
5.1052555e+01 3.5754019e-03 4.20
5.2204275e+01 3.6641958e-03 4.20
5.3355888e+01 3.7535796e-03 4.20
5.4507390e+01 3.8435702e-03 4.20
5.5658779e+01 3.9341844e-03 4.20
5.6810052e+01 4.0254397e-03 4.20
5.7961208e+01 4.1173532e-03 4.20
5.9112243e+01 4.2099426e-03 4.20
6.0263154e+01 4.3032256e-03 4.20
6.1413940e+01 4.3972200e-03 4.20
6.2564597e+01 4.4919439e-03 4.20
6.3715121e+01 4.5874157e-03 4.20
6.4865511e+01 4.6836538e-03 4.20
6.6015764e+01 4.7806769e-03 4.20
6.7165875e+01 4.8785039e-03 4.20
6.8315842e+01 4.9771541e-03 4.20
6.9465662e+01 5.0766467e-03 4.20
7.0615330e+01 5.1770015e-03 4.20
7.1764845e+01 5.2782382e-03 4.20
7.2914202e+01 5.3803771e-03 4.20
7.4063397e+01 5.4834386e-03 4.20
7.5212428e+01 5.5874434e-03 4.20
7.6361289e+01 5.6924124e-03 4.20
7.7509978e+01 5.7983670e-03 4.20
7.8658490e+01 5.9053288e-03 4.20
7.9806822e+01 6.0133197e-03 4.20
8.0954968e+01 6.1223619e-03 4.20
8.2102926e+01 6.2324782e-03 4.20
8.3250690e+01 6.3436913e-03 4.20
8.4398256e+01 6.4560248e-03 4.20
8.5545620e+01 6.5695022e-03 4.20
8.6692777e+01 6.6841477e-03 4.20
8.7839722e+01 6.7999858e-03 4.20
8.8986450e+01 6.9170414e-03 4.20
9.0132956e+01 7.0353399e-03 4.20
9.1279236e+01 7.1549071e-03 4.20
9.2425284e+01 7.2757693e-03 4.20
9.3571094e+01 7.3979531e-03 4.20
9.4716662e+01 7.5214858e-03 4.20
9.5861981e+01 7.6463952e-03 4.20
9.7007047e+01 7.7727096e-03 4.20
9.8151852e+01 7.9004576e-03 4.20
9.9296392e+01 8.0296686e-03 4.20
1.0044066e+02 8.1603727e-03 4.20
1.0158465e+02 8.2926002e-03 4.20
1.0272835e+02 8.4263823e-03 4.20
1.0387177e+02 8.5617508e-03 4.20
1.0501488e+02 8.6987381e-03 4.20
1.0615769e+02 8.8373771e-03 4.20
1.0730019e+02 8.9777016e-03 4.20
1.0844237e+02 9.1197462e-03 4.20
1.0958423e+02 9.2635460e-03 4.20
1.1072575e+02 9.4091368e-03 4.20
1.1186693e+02 9.5565555e-03 4.20
1.1300775e+02 9.7058396e-03 4.20
1.1414822e+02 9.8570273e-03 4.20
1.1528833e+02 1.0010158e-02 4.20
1.1642806e+02 1.0165271e-02 4.20
1.1756741e+02 1.0322409e-02 4.20
1.1870636e+02 1.0481612e-02 4.20
1.1984492e+02 1.0642924e-02 4.20
1.2098306e+02 1.0806388e-02 4.20
1.2212078e+02 1.0972050e-02 4.20
1.2325807e+02 1.1139955e-02 4.20
1.2439493e+02 1.1310150e-02 4.20
1.2553133e+02 1.1482683e-02 4.20
