# Elastic modulus look-up table for elastic spheres
# deformed in a microfluidic channel.
#
# A description of the underlying theory can be found here:
#
#   Numerical Simulation of Real-Time Deformability Cytometry
#   to Extract Cell Mechanical Properties
#   M. Mokbel, D. Mokbel, A. Mietke, N. Träber, S. Girardo,
#   O. Otto, J. Guck, and S. Aland
#   ACS Biomaterials Science & Engineering 3(11) 2017
#   DOI: 10.1021/acsbiomaterials.6b00558
#
# The simulations were performed by S. Aland, D. Mokbel.
# The look-up table was assembled by S. Aland, D. Mokbel, C. Herold.
#
# - column 1: area_um
# - column 2: deform
# - column 3: emodulus
# - channel width [um]: 20
# - flow rate [ul/s]: 0.04
# - viscosity [mPa*s]: 15
# - method: numerical
# - method details: FEM, linear elastic model
#
# apparent_area_um^2 deformation elastic_modulus_kPa
3.76132e+01 1.35810e-02 1.87117e+00
4.00244e+01 1.28140e-02 1.98574e+00
4.63819e+01 1.08840e-02 2.32942e+00
3.52699e+01 1.44560e-02 1.75661e+00
4.50757e+01 1.13460e-02 2.25305e+00
4.37884e+01 1.17570e-02 2.17667e+00
4.77090e+01 1.05260e-02 2.40579e+00
4.90502e+01 1.01410e-02 2.48217e+00
4.25189e+01 1.22520e-02 2.10030e+00
3.88161e+01 1.34390e-02 1.90936e+00
3.64438e+01 1.42910e-02 1.79480e+00
4.12693e+01 1.27760e-02 2.02392e+00
4.63939e+01 1.12570e-02 2.29123e+00
4.77208e+01 1.08750e-02 2.36761e+00
4.00382e+01 1.33320e-02 1.94755e+00
4.90615e+01 1.04690e-02 2.44398e+00
4.50882e+01 1.17470e-02 2.21486e+00
4.38014e+01 1.21890e-02 2.13848e+00
3.76277e+01 1.41650e-02 1.83299e+00
3.41387e+01 1.52790e-02 1.68024e+00
4.25324e+01 1.27190e-02 2.06211e+00
5.04294e+01 1.02110e-02 2.52036e+00
3.52848e+01 1.51190e-02 1.71842e+00
3.88306e+01 1.40060e-02 1.87117e+00
4.64067e+01 1.16490e-02 2.25305e+00
4.12834e+01 1.32830e-02 1.98574e+00
4.90734e+01 1.08120e-02 2.40579e+00
4.77332e+01 1.12420e-02 2.32942e+00
4.51014e+01 1.21710e-02 2.17667e+00
3.64591e+01 1.49350e-02 1.75661e+00
4.38151e+01 1.26460e-02 2.10030e+00
5.04428e+01 1.05440e-02 2.48217e+00
4.00529e+01 1.38830e-02 1.90936e+00
4.25467e+01 1.32150e-02 2.02392e+00
3.76431e+01 1.47890e-02 1.79480e+00
4.90859e+01 1.11720e-02 2.36761e+00
4.77462e+01 1.16280e-02 2.29123e+00
4.64201e+01 1.20630e-02 2.21486e+00
3.41546e+01 1.60150e-02 1.64205e+00
5.04550e+01 1.08850e-02 2.44398e+00
4.12983e+01 1.38220e-02 1.94755e+00
3.88461e+01 1.46110e-02 1.83299e+00
4.51154e+01 1.26190e-02 2.13848e+00
5.18370e+01 1.05510e-02 2.52036e+00
3.53009e+01 1.58300e-02 1.68024e+00
4.38297e+01 1.31300e-02 2.06211e+00
4.90990e+01 1.15500e-02 2.32942e+00
4.00685e+01 1.44710e-02 1.87117e+00
3.64755e+01 1.56230e-02 1.71842e+00
4.77599e+01 1.20350e-02 2.25305e+00
4.64343e+01 1.25000e-02 2.17667e+00
4.25619e+01 1.37410e-02 1.98574e+00
5.04679e+01 1.12410e-02 2.40579e+00
5.18513e+01 1.08950e-02 2.48217e+00
3.76597e+01 1.54570e-02 1.75661e+00
4.51301e+01 1.30920e-02 2.10030e+00
4.13143e+01 1.43950e-02 1.90936e+00
4.91129e+01 1.19480e-02 2.29123e+00
4.38452e+01 1.36420e-02 2.02392e+00
3.88627e+01 1.52560e-02 1.79480e+00
4.77744e+01 1.24630e-02 2.21486e+00
5.04814e+01 1.16150e-02 2.36761e+00
3.41737e+01 1.68290e-02 1.60386e+00
4.64492e+01 1.29620e-02 2.13848e+00
5.18644e+01 1.12470e-02 2.44398e+00
5.32641e+01 1.08740e-02 2.52036e+00
4.25780e+01 1.42990e-02 1.94755e+00
4.00851e+01 1.50970e-02 1.83299e+00
3.53199e+01 1.66140e-02 1.64205e+00
4.51458e+01 1.35940e-02 2.06211e+00
3.64931e+01 1.63620e-02 1.68024e+00
4.91274e+01 1.23680e-02 2.25305e+00
5.04956e+01 1.20070e-02 2.32942e+00
4.77897e+01 1.29160e-02 2.17667e+00
5.18781e+01 1.16160e-02 2.40579e+00
4.38616e+01 1.41860e-02 1.98574e+00
4.13313e+01 1.50060e-02 1.87117e+00
3.76773e+01 1.61710e-02 1.71842e+00
5.32795e+01 1.12300e-02 2.48217e+00
4.64651e+01 1.34500e-02 2.10030e+00
3.88804e+01 1.59460e-02 1.75661e+00
4.25952e+01 1.48930e-02 1.90936e+00
4.91428e+01 1.28100e-02 2.21486e+00
